STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160323,0.00,0.0,0.0,-9999,71,48,6.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160324,0.00,0.0,0.0,-9999,55,44,9.2,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160325,0.04,0.0,0.0,-9999,72,44,3.8,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160326,0.00,0.0,0.0,-9999,55,38,6.5,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160327,0.00,0.0,0.0,-9999,55,43,5.6,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160328,0.38,0.0,0.0,-9999,62,42,10.1,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160329,0.00,0.0,0.0,-9999,53,40,11.6,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160330,0.00,0.0,0.0,-9999,56,37,5.4,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160331,0.00,0.0,0.0,-9999,73,49,6.7,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160401,0.02,0.0,0.0,-9999,79,61,6.7,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160402,0.16,0.0,0.0,-9999,61,49,4.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160403,0.09,0.0,0.0,-9999,50,34,12.8,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160404,0.47,0.0,0.0,-9999,45,29,7.2,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160405,0.00,0.0,0.0,-9999,43,26,8.3,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160406,0.00,0.0,0.0,-9999,48,30,6.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160407,0.09,0.0,0.0,-9999,58,48,6.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160408,0.01,0.0,0.0,-9999,50,40,7.2,-9999,-9999,-9999,-9999,-9999
